#Name: kind
#Label: Kind
#Description: View the kind of instructions.
0	1	0000053c	 kind=IS_MEM|IS_STORE|IS_MULTI
0	1	00000540	 kind=IS_INT|IS_ALU
0	1	00000544	 kind=IS_INT|IS_ALU
0	1	00000548	 kind=IS_INT|IS_ALU
0	1	0000054c	 kind=IS_INT|IS_ALU
0	1	00000550	 kind=IS_INT|IS_ALU
0	1	00000554	 kind=IS_CONTROL|IS_CALL
0	2	00000558	 kind=IS_INT|IS_ALU
0	2	0000055c	 kind=IS_INT|IS_ALU
0	2	00000560	 kind=IS_INT|IS_ALU
0	2	00000564	 kind=IS_MEM|IS_LOAD|IS_MULTI
0	2	00000568	 kind=IS_CONTROL|IS_RETURN
1	1	00000410	 kind=IS_MEM|IS_STORE|IS_INT
1	1	00000414	 kind=IS_INT|IS_ALU
1	1	00000418	 kind=IS_INT|IS_ALU
1	1	0000041c	 kind=IS_MEM|IS_STORE|IS_INT
1	1	00000420	 kind=IS_MEM|IS_STORE|IS_INT
1	1	00000424	 kind=IS_MEM|IS_LOAD|IS_INT
1	1	00000428	 kind=IS_INT|IS_ALU
1	1	0000042c	 kind=IS_MEM|IS_STORE|IS_INT
1	1	00000430	 kind=IS_CONTROL
1	2	00000518	 kind=IS_MEM|IS_LOAD|IS_INT
1	2	0000051c	 kind=IS_INT|IS_ALU
1	2	00000520	 kind=IS_COND|IS_CONTROL
1	3	00000434	 kind=IS_INT|IS_ALU
1	3	00000438	 kind=IS_MEM|IS_STORE|IS_INT
1	3	0000043c	 kind=IS_INT|IS_ALU
1	3	00000440	 kind=IS_MEM|IS_STORE|IS_INT
1	3	00000444	 kind=IS_CONTROL
1	4	000004f0	 kind=IS_MEM|IS_LOAD|IS_INT
1	4	000004f4	 kind=IS_MEM|IS_LOAD|IS_INT
1	4	000004f8	 kind=IS_INT|IS_ALU
1	4	000004fc	 kind=IS_COND|IS_CONTROL
1	5	00000448	 kind=IS_MEM|IS_LOAD|IS_INT
1	5	0000044c	 kind=IS_INT|IS_ALU
1	5	00000450	 kind=IS_MEM|IS_LOAD|IS_INT
1	5	00000454	 kind=IS_INT|IS_ALU
1	5	00000458	 kind=IS_MEM|IS_LOAD|IS_INT
1	5	0000045c	 kind=IS_MEM|IS_LOAD|IS_INT
1	5	00000460	 kind=IS_INT|IS_ALU
1	5	00000464	 kind=IS_INT|IS_ALU
1	5	00000468	 kind=IS_MEM|IS_LOAD|IS_INT
1	5	0000046c	 kind=IS_INT|IS_ALU
1	5	00000470	 kind=IS_MEM|IS_LOAD|IS_INT
1	5	00000474	 kind=IS_INT|IS_ALU
1	5	00000478	 kind=IS_COND|IS_CONTROL
1	6	000004e4	 kind=IS_MEM|IS_LOAD|IS_INT
1	6	000004e8	 kind=IS_INT|IS_ALU
1	6	000004ec	 kind=IS_MEM|IS_STORE|IS_INT
1	7	0000047c	 kind=IS_MEM|IS_LOAD|IS_INT
1	7	00000480	 kind=IS_INT|IS_ALU
1	7	00000484	 kind=IS_MEM|IS_LOAD|IS_INT
1	7	00000488	 kind=IS_INT|IS_ALU
1	7	0000048c	 kind=IS_MEM|IS_LOAD|IS_INT
1	7	00000490	 kind=IS_MEM|IS_STORE|IS_INT
1	7	00000494	 kind=IS_MEM|IS_LOAD|IS_INT
1	7	00000498	 kind=IS_INT|IS_ALU
1	7	0000049c	 kind=IS_INT|IS_ALU
1	7	000004a0	 kind=IS_MEM|IS_LOAD|IS_INT
1	7	000004a4	 kind=IS_INT|IS_ALU
1	7	000004a8	 kind=IS_MEM|IS_LOAD|IS_INT
1	7	000004ac	 kind=IS_INT|IS_ALU
1	7	000004b0	 kind=IS_MEM|IS_LOAD|IS_INT
1	7	000004b4	 kind=IS_INT|IS_ALU
1	7	000004b8	 kind=IS_MEM|IS_LOAD|IS_INT
1	7	000004bc	 kind=IS_MEM|IS_STORE|IS_INT
1	7	000004c0	 kind=IS_MEM|IS_LOAD|IS_INT
1	7	000004c4	 kind=IS_INT|IS_ALU
1	7	000004c8	 kind=IS_INT|IS_ALU
1	7	000004cc	 kind=IS_MEM|IS_LOAD|IS_INT
1	7	000004d0	 kind=IS_INT|IS_ALU
1	7	000004d4	 kind=IS_MEM|IS_LOAD|IS_INT
1	7	000004d8	 kind=IS_MEM|IS_STORE|IS_INT
1	7	000004dc	 kind=IS_INT|IS_ALU
1	7	000004e0	 kind=IS_MEM|IS_STORE|IS_INT
1	8	00000500	 kind=IS_MEM|IS_LOAD|IS_INT
1	8	00000504	 kind=IS_INT|IS_ALU
1	8	00000508	 kind=IS_COND|IS_CONTROL
1	9	00000528	 kind=IS_INT|IS_ALU
1	10	0000050c	 kind=IS_MEM|IS_LOAD|IS_INT
1	10	00000510	 kind=IS_INT|IS_ALU
1	10	00000514	 kind=IS_MEM|IS_STORE|IS_INT
1	11	00000524	 kind=IS_CONTROL
1	12	0000052c	 kind=IS_INT|IS_ALU
1	12	00000530	 kind=IS_INT|IS_ALU
1	12	00000534	 kind=IS_MEM|IS_LOAD|IS_INT
1	12	00000538	 kind=IS_CONTROL|IS_RETURN
